school_name,web_site,email,address,phone,school_type,affiliation,director,classes,url
"Средняя общеобразовательная школа ""Школа здоровья"" № 27",http://sch27.mosuzedu.ru/,,"117593, Москва, Юго-Западный округ,  Литовский бульвар, 17, корп. 3",426-71-83,"Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Григорян Инна Вагаршаковна",,http://www.edu.ru/schools/catalog/school/19/
"Средняя общеобразовательная школа № 789",http://ekolab789.narod.ru,,"117574, Москва, Юго-Западный округ,  Голубинская улица, 5-3","421-47-88; 421-45-66","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Прошлякова Светлана Дмитриевна",,http://www.edu.ru/schools/catalog/school/10/
"Средняя общеобразовательная школа с углубленным изучением иностранного языка (английского) № 1206",http://school1206moscow.narod.ru,,"117593, Москва, Юго-Западный округ,  Литовский бульвар, 3-3","426-64-22; 425-57-11","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Адамова Татьяна Павловна",,http://www.edu.ru/schools/catalog/school/23/
"Cредняя общеобразовательная школа № 108",http://www.sch108.mosuzedu.ru,,"117574, Москва, Юго-Западный округ,  Вильнюсская улица, 14","422-61-55; 422-58-33","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Добрынина Ирина Владимировна",,http://www.edu.ru/schools/catalog/school/17/
"Средняя общеобразовательная школа № 1108",http://www.sh1108.yasenevo.org,,"117593, Москва, Юго-Западный округ,  Соловьиный проезд, 16 корп. 2","426-96-04; 426-66-11","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Лямбек Людмила Сергеевна",,http://www.edu.ru/schools/catalog/school/11/
"Cредняя общеобразовательная школа № 1103 имени героя РФ А. В. Соломатина",http://solomatinschool.ucoz.org,,"117588, Москва, Юго-Западный округ,  Литовский бульвар, 44 корп. 2",426-88-11,"Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Орленко Ирина Ивановна",,http://www.edu.ru/schools/catalog/school/6/
"Средняя общеобразовательная школа № 693",http://www.school693.ru,,"117593, Москва, Юго-Западный округ,  Соловьиный проезд, 4-3","426-79-11; 426-79-00","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Карпова Светлана Евангельевна",,http://www.edu.ru/schools/catalog/school/4/
"Средняя общеобразовательная школа № 864",http://www.sch864.blagosvet.ru,,"117588, Москва, Юго-Западный округ,  Литовский бульвар, 6 корп. 2","425-67-67; 425-55-33","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Работкина Вера Васильевна",,http://www.edu.ru/schools/catalog/school/7/
"Cредняя общеобразовательная школа № 1106",http://sch1106.mosuzedu.ru,,"117463, Москва, Юго-Западный округ,  Карамзина проезд, 13 корп. 3","423-27-88; 422-09-61","Средняя (полная) общеобразовательная школа, в т.ч. с углубленным изучением отдельных предметов","Государственное образовательное учреждение","Селезнева Лидия Ивановна",,http://www.edu.ru/schools/catalog/school/5/
"НОУ Православная гимназия ""Радонеж""",http://gymnasia-radonezh.ru/,,"117574, Москва, Юго-Западный округ,  Одоевского проезд, 13",423-51-22,"Гимназия","Негосударственное образовательное учреждение","Тишков Михаил Борисович",,http://www.edu.ru/schools/catalog/school/33/
